entry_offset_minutes,train_rows,trade_coverage,contract_threshold_accuracy,trade_threshold_accuracy,avg_confidence,contract_probability_brier,avg_trade_return,avg_open_to_entry_return,avg_open_to_close_return,selection_score
1,205,0.011235955056179775,1.0,1.0,0.14893258426966294,0.20728342696629215,0.001375535773718961,0.00017654884797877694,0.0004072271417481669,0.0
2,205,0.011235955056179775,1.0,1.0,0.23151685393258428,0.15657949438202245,0.00014525366719664312,0.0003827445453407436,0.0004072271417481669,0.0
3,205,0.011235955056179775,1.0,0.0,0.2815730337078652,0.15012303370786517,-6.629482323483593e-05,0.00044197337311918097,0.0004072271417481669,0.0
